Time : 2021-08-03 17:19:47,898 | Type : INFO | Name : discord.client | Message : logging in using static token
Time : 2021-08-03 17:19:48,060 | Type : DEBUG | Name : discord.http | Message : GET https://discord.com/api/v7/users/@me with None has returned 200
Time : 2021-08-03 17:19:48,060 | Type : DEBUG | Name : discord.http | Message : GET https://discord.com/api/v7/users/@me has received {'id': '871677834551246888', 'username': 'Code Hub', 'avatar': 'a4dc9983c0394b9e85c4f47b5d9e77d2', 'discriminator': '4276', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'banner_color': None, 'accent_color': None, 'bio': '', 'locale': 'en-US', 'mfa_enabled': True, 'email': None, 'verified': True}
Time : 2021-08-03 17:19:48,085 | Type : DEBUG | Name : discord.http | Message : GET https://discord.com/api/v7/gateway with None has returned 200
Time : 2021-08-03 17:19:48,085 | Type : DEBUG | Name : discord.http | Message : GET https://discord.com/api/v7/gateway has received {'url': 'wss://gateway.discord.gg'}
Time : 2021-08-03 17:19:48,173 | Type : DEBUG | Name : discord.gateway | Message : Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6&compress=zlib-stream
Time : 2021-08-03 17:19:48,174 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_receive
Time : 2021-08-03 17:19:48,174 | Type : DEBUG | Name : discord.gateway | Message : For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-main-8357",{"micros":0.0}]']}}
Time : 2021-08-03 17:19:48,174 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_response
Time : 2021-08-03 17:19:48,174 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_send
Time : 2021-08-03 17:19:48,175 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_send
Time : 2021-08-03 17:19:48,175 | Type : INFO | Name : discord.gateway | Message : Shard ID None has sent the IDENTIFY payload.
Time : 2021-08-03 17:19:48,216 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_receive
Time : 2021-08-03 17:19:48,216 | Type : DEBUG | Name : discord.gateway | Message : For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
Time : 2021-08-03 17:19:48,216 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_response
Time : 2021-08-03 17:19:48,699 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_receive
Time : 2021-08-03 17:19:48,700 | Type : DEBUG | Name : discord.gateway | Message : For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 9, 'd': False}
Time : 2021-08-03 17:19:48,700 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_response
Time : 2021-08-03 17:19:48,700 | Type : INFO | Name : discord.gateway | Message : Shard ID None session has been invalidated.
Time : 2021-08-03 17:19:48,747 | Type : INFO | Name : discord.client | Message : Got a request to IDENTIFY the websocket.
Time : 2021-08-03 17:19:48,747 | Type : DEBUG | Name : discord.client | Message : Dispatching event disconnect
Time : 2021-08-03 17:19:48,770 | Type : DEBUG | Name : discord.http | Message : GET https://discord.com/api/v7/gateway with None has returned 200
Time : 2021-08-03 17:19:48,770 | Type : DEBUG | Name : discord.http | Message : GET https://discord.com/api/v7/gateway has received {'url': 'wss://gateway.discord.gg'}
Time : 2021-08-03 17:19:48,847 | Type : DEBUG | Name : discord.gateway | Message : Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6&compress=zlib-stream
Time : 2021-08-03 17:19:48,848 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_receive
Time : 2021-08-03 17:19:48,848 | Type : DEBUG | Name : discord.gateway | Message : For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-main-tn1q",{"micros":0.0}]']}}
Time : 2021-08-03 17:19:48,848 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_response
Time : 2021-08-03 17:19:48,848 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_send
Time : 2021-08-03 17:19:53,855 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_send
Time : 2021-08-03 17:19:53,855 | Type : INFO | Name : discord.gateway | Message : Shard ID None has sent the IDENTIFY payload.
Time : 2021-08-03 17:19:53,856 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_receive
Time : 2021-08-03 17:19:53,856 | Type : DEBUG | Name : discord.gateway | Message : For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
Time : 2021-08-03 17:19:53,856 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_response
Time : 2021-08-03 17:19:54,048 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_receive
Time : 2021-08-03 17:19:54,048 | Type : DEBUG | Name : discord.gateway | Message : For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 6, 'user_settings': {}, 'user': {'verified': True, 'username': 'Code Hub', 'mfa_enabled': True, 'id': '871677834551246888', 'flags': 0, 'email': None, 'discriminator': '4276', 'bot': True, 'avatar': 'a4dc9983c0394b9e85c4f47b5d9e77d2'}, 'session_id': '47de72e664c4dcb17b11d52373ff588b', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '860157634723708997'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-central', 'us-south', 'us-east', 'us-west', 'europe'], 'application': {'id': '871677834551246888', 'flags': 262144}, '_trace': ['["gateway-prd-main-tn1q",{"micros":137895,"calls":["discord-sessions-green-prd-2-150",{"micros":137001,"calls":["start_session",{"micros":70817,"calls":["api-prd-main-smc7",{"micros":62634,"calls":["get_user",{"micros":5972},"add_authorized_ip",{"micros":3601},"get_guilds",{"micros":12129},"coros_wait",{"micros":1}]}]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":49510,"calls":[]}]}]}]']}}
Time : 2021-08-03 17:19:54,048 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_response
Time : 2021-08-03 17:19:54,049 | Type : INFO | Name : discord.gateway | Message : Shard ID None has connected to Gateway: ["gateway-prd-main-tn1q",{"micros":137895,"calls":["discord-sessions-green-prd-2-150",{"micros":137001,"calls":["start_session",{"micros":70817,"calls":["api-prd-main-smc7",{"micros":62634,"calls":["get_user",{"micros":5972},"add_authorized_ip",{"micros":3601},"get_guilds",{"micros":12129},"coros_wait",{"micros":1}]}]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":49510,"calls":[]}]}]}] (Session ID: 47de72e664c4dcb17b11d52373ff588b).
Time : 2021-08-03 17:19:54,073 | Type : DEBUG | Name : discord.client | Message : Dispatching event connect
